"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"verso19.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:42:06 BRT"	"10278"	"106"	"5ebb44e4e5f260690c9c90c14bfba629"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso19.mp3.reapeaks"
"verso19.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:42:06 BRT"	"2010"	"106"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso19.mp3.reapeaks-slack"
"verso1_1.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:49 BRT"	"119212"	"69"	"06d6b3f5ae3300aff441bcafc315e53c"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso1_1.mp3"
"verso1_1.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:49 BRT"	"3668"	"69"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso1_1.mp3-slack"
"verso1_1.mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:49 BRT"	"167"	"69"	"39fba3cba8557b5ec214257bf7c9f96c"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso1_1.mp3:Zone.Identifier"
"verso1_1.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:10:12 BRT"	"9174"	"70"	"27165e1f7c1f665f33f2ffdaf6902acf"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso1_1.mp3.reapeaks"
"verso1_1.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:10:12 BRT"	"3114"	"70"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso1_1.mp3.reapeaks-slack"
"verso20.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 10:37:40 BRT"	"662538"	"107"	"496d643ad22a1af40c270de30b73f5e5"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso20.mp3"
"verso20.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 10:37:40 BRT"	"1014"	"107"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso20.mp3-slack"
"verso20.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:42:29 BRT"	"21250"	"108"	"554196b9bc26815292793a0658a0062a"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso20.mp3.reapeaks"
"verso20.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 04:42:29 BRT"	"3326"	"108"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso20.mp3.reapeaks-slack"
"verso2_1.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:50 BRT"	"123364"	"71"	"73ed729dbf0746f64b8626ab9b5408b0"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso2_1.mp3"
"verso2_1.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:50 BRT"	"3612"	"71"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso2_1.mp3-slack"
"verso2_1.mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:50 BRT"	"167"	"71"	"b5ca3b18f470b9953e790047d1ba24a5"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso2_1.mp3:Zone.Identifier"
"verso2_1.mp3.reapeaks"	".reapeaks"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:12:19 BRT"	"9846"	"72"	"6577e49f91265a6a80a2d53b1ef68ba6"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso2_1.mp3.reapeaks"
"verso2_1.mp3.reapeaks-slack"	".reapeaks-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:12:19 BRT"	"2442"	"72"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso2_1.mp3.reapeaks-slack"
"verso3_1.mp3"	".mp3"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:37 BRT"	"128908"	"73"	"841dd935fe038c3e33e1b878f69cd237"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso3_1.mp3"
"verso3_1.mp3-slack"	".mp3-slack"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:37 BRT"	"2164"	"73"	"null"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso3_1.mp3-slack"
"verso3_1.mp3:Zone.Identifier"	".Identifier"	"r"	""	"2023-07-20 22:21:30 BRT"	"2023-07-20 22:21:30 BRT"	"2022-09-08 03:09:37 BRT"	"167"	"73"	"e564c8577d93a29285c1235668fc201f"	"unknown"	"rrwxrwxrwx"	"/img_T:/verso3_1.mp3:Zone.Identifier"
